hour no,isop_emis_SE,isop_emis_NE,isop_emis_Mid,isop_emis_SW,isop_emis_N,terp_emis_SE,terp_emis_NE,terp_emis_Mid,terp_emis_SW,terp_emis_N,isop_ppb_SE,isop_ppb_NE,isop_ppb_Mid,isop_ppb_SW,isop_ppb_N,terp_ppb_SE,terp_ppb_NE,terp_ppb_Mid,terp_ppb_SW,terp_ppb_N,hcho_ppb_SE,hcho_ppb_NE,hcho_ppb_Mid,hcho_ppb_SW,hcho_ppb_N,no_ppb_SE,no_ppb_NE,no_ppb_Mid,no_ppb_SW,no_ppb_N,no2_ppb_SE,no2_ppb_NE,no2_ppb_Mid,no2_ppb_SW,no2_ppb_N,mvk_ppb_SE,mvk_ppb_NE,mvk_ppb_Mid,mvk_ppb_SW,mvk_ppb_N,macr_ppb_SE,macr_ppb_NE,macr_ppb_Mid,macr_ppb_SW,macr_ppb_N
576,1430.231,1354.041,38.495,56.207,4450.192,403.258,383.864,94.557,115.042,544.461,0.999,1.005,0.024,0.035,3.66,0.098,0.113,0.034,0.053,0.258,1.068,0.787,0.805,0.337,2.663,0.157,0.051,0.063,0.072,0.088,0.282,0.127,0.144,0.102,0.383,0.035,0.037,0.002,0.001,0.159,0.079,0.077,0.002,0.001,0.423
577,1570.377,1533.965,45.934,83.971,5301.027,446.002,424.875,110.116,147.208,629.596,1.154,1.155,0.025,0.05,4.051,0.104,0.116,0.031,0.045,0.237,1.083,0.845,0.814,0.394,2.698,0.125,0.048,0.057,0.069,0.076,0.247,0.122,0.129,0.095,0.333,0.033,0.039,0.002,0.002,0.156,0.071,0.085,0.002,0.002,0.433
578,1635.777,1619.246,50.951,113.371,5816.69,473.709,450.683,123.154,180.595,694.889,1.313,1.299,0.026,0.063,4.249,0.112,0.123,0.031,0.042,0.227,1.102,0.899,0.803,0.435,2.733,0.107,0.048,0.052,0.065,0.07,0.231,0.122,0.12,0.09,0.309,0.033,0.04,0.002,0.002,0.152,0.071,0.092,0.002,0.003,0.443
579,1577.775,1585.557,53.018,139.652,5977.782,483.042,457.659,132.411,209.027,734.242,1.484,1.447,0.027,0.078,4.357,0.124,0.133,0.032,0.043,0.224,1.127,0.946,0.784,0.459,2.761,0.101,0.049,0.049,0.063,0.066,0.231,0.128,0.113,0.089,0.302,0.034,0.041,0.002,0.002,0.148,0.076,0.1,0.002,0.004,0.451
580,1403.873,1408.247,52.112,157.444,5758.778,473.28,439.744,136.824,229.216,740.564,1.649,1.573,0.028,0.092,4.468,0.137,0.145,0.034,0.046,0.229,1.158,0.985,0.762,0.475,2.782,0.099,0.05,0.047,0.063,0.065,0.244,0.138,0.11,0.092,0.304,0.037,0.043,0.002,0.002,0.145,0.085,0.109,0.002,0.005,0.459
581,1060.884,1092.521,47.269,163.369,5084.736,426.387,396.755,135.535,238.031,709.975,1.823,1.62,0.029,0.102,4.68,0.157,0.155,0.037,0.05,0.243,1.191,1.012,0.742,0.484,2.802,0.098,0.05,0.045,0.064,0.063,0.27,0.153,0.11,0.096,0.316,0.04,0.044,0.002,0.002,0.145,0.095,0.116,0.002,0.005,0.471
582,617.544,662.648,38.049,153.155,3890.372,347.163,338.155,127.85,235.02,647.384,1.979,1.619,0.03,0.11,4.916,0.183,0.171,0.04,0.053,0.269,1.225,1.03,0.721,0.488,2.819,0.094,0.047,0.043,0.065,0.061,0.31,0.177,0.113,0.103,0.341,0.045,0.046,0.002,0.002,0.147,0.106,0.122,0.002,0.006,0.485
583,165.231,182.613,24.092,130.045,2174.429,268.843,282.465,113.043,218.821,571.077,1.868,1.507,0.028,0.113,5.144,0.202,0.197,0.045,0.058,0.324,1.246,1.042,0.7,0.488,2.84,0.081,0.039,0.039,0.065,0.057,0.385,0.221,0.121,0.113,0.402,0.051,0.049,0.002,0.002,0.157,0.116,0.126,0.002,0.006,0.498
584,1.225,2.128,7.426,86.304,436.142,240.501,256.369,102.412,175.424,519.892,1.462,1.165,0.023,0.11,5.551,0.257,0.255,0.055,0.062,0.53,1.248,1.048,0.679,0.484,2.922,0.057,0.025,0.031,0.061,0.052,0.619,0.307,0.143,0.127,0.639,0.055,0.053,0.002,0.002,0.19,0.12,0.128,0.002,0.006,0.522
585,0.885,1.834,0.241,35.921,11.683,216.593,233.179,100.951,146.509,430.467,1.164,0.885,0.014,0.097,4.612,0.413,0.341,0.087,0.07,0.87,1.24,1.044,0.662,0.475,3.019,0.037,0.017,0.021,0.049,0.038,1.135,0.41,0.204,0.155,1.143,0.058,0.054,0.001,0.002,0.234,0.118,0.126,0.002,0.006,0.54
586,0.794,1.613,0.205,0.22,9.345,194.011,212.254,90.349,144.65,373.256,1.016,0.74,0.007,0.082,3.592,0.578,0.42,0.12,0.128,1.133,1.244,1.041,0.644,0.466,3.027,0.043,0.017,0.014,0.037,0.029,1.644,0.492,0.265,0.27,1.632,0.06,0.053,0.001,0.002,0.247,0.117,0.125,0.001,0.005,0.528
587,0.728,1.474,0.178,0.098,8.084,175.828,196.234,80.727,125.363,335.229,0.925,0.651,0.005,0.056,2.865,0.668,0.476,0.13,0.23,1.203,1.242,1.04,0.623,0.459,2.942,0.05,0.017,0.013,0.025,0.03,1.853,0.548,0.288,0.466,1.841,0.062,0.053,0.001,0.002,0.236,0.118,0.125,0.001,0.005,0.499
588,0.667,1.38,0.156,0.08,7.162,160.606,183.395,72.445,110.522,306.28,0.871,0.597,0.003,0.048,2.352,0.694,0.506,0.125,0.292,1.184,1.225,1.041,0.599,0.455,2.817,0.049,0.016,0.012,0.024,0.03,1.791,0.577,0.289,0.574,1.864,0.064,0.053,0.001,0.002,0.22,0.121,0.128,0.001,0.005,0.465
589,0.623,1.331,0.137,0.07,6.491,148.764,174.06,65.137,98.732,284.851,0.84,0.566,0.002,0.046,1.975,0.673,0.508,0.113,0.3,1.131,1.19,1.042,0.572,0.449,2.674,0.039,0.016,0.011,0.022,0.03,1.576,0.582,0.274,0.582,1.792,0.066,0.053,0,0.002,0.204,0.124,0.132,0,0.006,0.433
590,0.59,1.301,0.121,0.062,6.012,138.871,166.613,58.664,88.947,269.169,0.816,0.547,0.001,0.046,1.686,0.62,0.489,0.101,0.287,1.062,1.143,1.04,0.545,0.44,2.522,0.03,0.016,0.01,0.019,0.03,1.345,0.57,0.256,0.55,1.675,0.068,0.053,0,0.002,0.188,0.127,0.136,0,0.006,0.401
591,0.568,1.285,0.108,0.056,5.615,130.521,160.707,52.943,80.691,255.776,0.791,0.532,0.001,0.046,1.454,0.546,0.468,0.091,0.273,0.994,1.085,1.04,0.52,0.429,2.375,0.026,0.015,0.009,0.017,0.029,1.162,0.558,0.239,0.514,1.552,0.07,0.053,0,0.002,0.173,0.129,0.14,0,0.006,0.372
592,0.552,1.275,0.095,0.05,5.296,123.595,155.797,47.907,73.668,245.047,0.764,0.514,0.001,0.043,1.259,0.47,0.454,0.084,0.265,0.939,1.03,1.038,0.497,0.42,2.236,0.024,0.015,0.008,0.016,0.029,1.037,0.551,0.225,0.486,1.443,0.071,0.054,0,0.002,0.159,0.129,0.142,0,0.005,0.345
593,0.542,1.265,0.085,0.046,5.023,117.913,151.485,43.445,67.761,235.583,0.736,0.492,0,0.037,1.091,0.418,0.444,0.079,0.261,0.892,0.984,1.035,0.477,0.411,2.1,0.024,0.015,0.007,0.015,0.028,0.963,0.546,0.214,0.466,1.349,0.072,0.053,0,0.002,0.146,0.129,0.142,0,0.004,0.319
594,0.538,1.259,0.075,0.042,4.79,113.2,148.027,39.493,62.686,227.298,0.697,0.463,0,0.028,0.947,0.381,0.43,0.076,0.26,0.853,0.945,1.027,0.46,0.403,1.973,0.028,0.014,0.007,0.014,0.028,0.936,0.537,0.206,0.452,1.271,0.071,0.052,0,0.001,0.134,0.126,0.141,0,0.003,0.294
595,78.351,24.801,0.067,0.039,4.577,120.756,144.115,35.985,58.232,219.569,0.645,0.434,0,0.018,0.833,0.29,0.406,0.073,0.263,0.823,0.913,1.016,0.446,0.396,1.866,0.093,0.019,0.006,0.014,0.028,0.854,0.515,0.2,0.444,1.207,0.07,0.05,0,0.001,0.124,0.122,0.138,0,0.002,0.273
596,321.006,265.898,0.7,0.036,119.99,164.727,176.909,30.95,54.262,216.818,0.753,0.498,0,0.01,0.76,0.214,0.286,0.067,0.271,0.742,0.955,0.998,0.437,0.39,1.778,0.236,0.049,0.014,0.014,0.052,0.671,0.384,0.187,0.44,1.069,0.076,0.046,0,0,0.116,0.125,0.134,0,0.001,0.255
597,621.738,614.343,6.314,1.777,948.048,219.959,222.724,36.295,53.892,269.077,0.924,0.776,0.003,0.005,1.07,0.17,0.208,0.057,0.209,0.533,1.086,1.02,0.445,0.388,1.753,0.292,0.073,0.043,0.031,0.099,0.553,0.289,0.149,0.386,0.808,0.079,0.045,0,0,0.109,0.135,0.135,0,0.001,0.24
598,935.242,951.888,14.039,17.253,2175.167,277.21,269.584,46.742,75.981,356.495,1.042,1.073,0.01,0.012,1.952,0.137,0.173,0.046,0.135,0.347,1.218,1.073,0.483,0.411,1.795,0.256,0.075,0.063,0.087,0.116,0.449,0.237,0.121,0.261,0.564,0.069,0.05,0,0,0.115,0.131,0.14,0,0,0.24
599,1203.637,1244.456,22.653,46.912,3434.433,328.873,312.087,59.891,111.957,454.604,1.171,1.314,0.017,0.038,2.763,0.12,0.155,0.035,0.093,0.266,1.281,1.142,0.536,0.46,1.884,0.194,0.068,0.064,0.115,0.107,0.361,0.203,0.106,0.192,0.428,0.055,0.057,0.001,0.001,0.129,0.114,0.148,0.001,0.001,0.258
600,1298.712,1481.904,27.161,98.549,4598.384,355.604,341.777,73.399,154.671,552.46,1.287,1.505,0.018,0.073,3.344,0.116,0.148,0.028,0.065,0.232,1.287,1.21,0.583,0.514,2.023,0.146,0.062,0.06,0.111,0.092,0.299,0.182,0.098,0.157,0.355,0.046,0.061,0.001,0.002,0.141,0.097,0.155,0.001,0.003,0.289
601,1388.382,1636.684,34.249,150.761,5445.646,380.839,366.791,88.434,196.266,636.444,1.437,1.684,0.019,0.09,3.746,0.119,0.15,0.025,0.051,0.218,1.258,1.265,0.609,0.553,2.167,0.116,0.058,0.055,0.096,0.08,0.258,0.169,0.092,0.134,0.312,0.042,0.062,0.001,0.003,0.145,0.087,0.159,0.002,0.004,0.323
602,1363.672,1702.212,40.265,200.932,5946.949,388.032,380.293,102.206,235.163,700.165,1.59,1.861,0.02,0.107,4.002,0.126,0.156,0.025,0.049,0.214,1.223,1.308,0.615,0.58,2.289,0.103,0.056,0.052,0.086,0.073,0.241,0.165,0.088,0.121,0.289,0.042,0.062,0.001,0.003,0.145,0.086,0.163,0.002,0.005,0.355
603,1249.13,1653.362,44.342,237.942,6094.682,376.549,379.023,113.054,266.549,737.563,1.73,2.029,0.021,0.127,4.185,0.137,0.166,0.027,0.051,0.216,1.204,1.338,0.609,0.593,2.383,0.102,0.055,0.051,0.082,0.069,0.249,0.167,0.086,0.117,0.28,0.044,0.062,0.001,0.003,0.143,0.091,0.169,0.002,0.006,0.382
604,1096.135,1474.519,45.855,258.47,5853.521,351.235,360.673,120.124,287.061,741.309,1.879,2.186,0.022,0.146,4.4,0.151,0.178,0.029,0.054,0.226,1.202,1.358,0.597,0.595,2.453,0.103,0.055,0.05,0.08,0.067,0.264,0.173,0.085,0.116,0.282,0.048,0.063,0.001,0.003,0.141,0.101,0.176,0.002,0.007,0.406
605,864.063,1154.655,44.366,260.302,5160.723,308.447,326.274,122.719,293.988,709.669,2.06,2.32,0.024,0.164,4.599,0.171,0.194,0.032,0.058,0.24,1.211,1.368,0.584,0.595,2.507,0.107,0.054,0.049,0.079,0.065,0.294,0.187,0.086,0.119,0.291,0.053,0.064,0.001,0.003,0.141,0.113,0.183,0.002,0.008,0.429
606,527.982,695.88,37.317,240.329,3939.241,250.803,278.938,113.687,290.339,646.575,2.243,2.407,0.025,0.175,4.783,0.199,0.218,0.036,0.062,0.263,1.221,1.368,0.568,0.594,2.544,0.109,0.051,0.047,0.078,0.062,0.35,0.215,0.09,0.126,0.314,0.059,0.068,0.001,0.003,0.143,0.126,0.19,0.002,0.009,0.447
607,150.203,180.958,23.822,205.475,2210.908,193.384,227.668,95.79,263.262,570.458,2.271,2.282,0.024,0.18,4.999,0.237,0.251,0.039,0.067,0.318,1.225,1.362,0.55,0.592,2.575,0.1,0.04,0.042,0.076,0.058,0.471,0.262,0.097,0.136,0.372,0.066,0.074,0.001,0.003,0.151,0.137,0.194,0.002,0.009,0.462
608,1.202,2.326,6.857,136.961,454.546,158.96,200.464,82.518,205.649,510.742,1.889,1.793,0.019,0.174,5.273,0.288,0.289,0.046,0.07,0.512,1.213,1.339,0.531,0.586,2.65,0.066,0.022,0.033,0.069,0.052,0.72,0.327,0.116,0.151,0.582,0.072,0.078,0.001,0.003,0.18,0.142,0.193,0.002,0.009,0.479
609,0.953,2.118,0.167,55.739,11.643,141.514,185.648,82.968,168.411,428.998,1.487,1.385,0.011,0.152,4.353,0.334,0.318,0.075,0.079,0.839,1.168,1.294,0.517,0.573,2.73,0.027,0.013,0.02,0.054,0.039,0.973,0.37,0.172,0.182,1.029,0.076,0.075,0.001,0.003,0.22,0.14,0.185,0.001,0.008,0.489
610,0.932,1.974,0.14,0.263,9.384,129.733,173.694,73.292,166.444,374.576,1.202,1.128,0.005,0.121,3.414,0.346,0.326,0.11,0.156,1.11,1.104,1.248,0.504,0.563,2.725,0.024,0.013,0.013,0.042,0.03,1.045,0.384,0.231,0.333,1.469,0.075,0.07,0.001,0.003,0.235,0.136,0.176,0.001,0.007,0.473
611,0.922,1.866,0.119,0.113,8.154,121.749,164.182,65.031,141.877,337.605,1,0.948,0.003,0.07,2.747,0.329,0.326,0.129,0.319,1.219,1.038,1.205,0.493,0.56,2.638,0.024,0.012,0.012,0.03,0.031,1,0.388,0.261,0.648,1.683,0.073,0.066,0.001,0.003,0.227,0.131,0.169,0.001,0.005,0.442
612,0.913,1.792,0.102,0.088,7.266,114.92,157.053,58.241,123.496,309.896,0.861,0.826,0.002,0.051,2.246,0.291,0.329,0.138,0.45,1.226,0.968,1.172,0.481,0.56,2.513,0.021,0.012,0.011,0.031,0.031,0.893,0.393,0.275,0.88,1.723,0.069,0.063,0,0.002,0.211,0.125,0.163,0.001,0.005,0.407
613,0.907,1.735,0.088,0.074,6.593,109.506,151.545,52.454,109.309,288.591,0.763,0.746,0.002,0.044,1.868,0.258,0.338,0.139,0.497,1.188,0.901,1.15,0.468,0.555,2.377,0.018,0.012,0.011,0.029,0.031,0.781,0.402,0.275,0.928,1.674,0.065,0.061,0,0.002,0.194,0.119,0.16,0,0.005,0.374
614,0.906,1.689,0.078,0.066,6.047,105.314,147.043,47.5,98.051,270.501,0.694,0.685,0.001,0.045,1.577,0.241,0.348,0.136,0.495,1.127,0.843,1.134,0.455,0.545,2.242,0.015,0.012,0.01,0.026,0.03,0.702,0.412,0.268,0.883,1.581,0.062,0.06,0,0.002,0.177,0.114,0.157,0,0.005,0.344
615,0.911,1.643,0.069,0.059,5.614,102.08,143.26,43.249,88.711,255.969,0.64,0.63,0.001,0.048,1.345,0.24,0.354,0.13,0.474,1.051,0.793,1.118,0.442,0.535,2.11,0.015,0.012,0.009,0.023,0.029,0.666,0.419,0.258,0.816,1.468,0.059,0.059,0,0.003,0.161,0.109,0.154,0,0.006,0.316
616,0.917,1.607,0.062,0.054,5.225,99.246,140.215,39.563,80.884,242.631,0.584,0.583,0.001,0.05,1.158,0.248,0.356,0.125,0.451,0.983,0.747,1.101,0.431,0.524,1.986,0.015,0.012,0.008,0.02,0.028,0.653,0.423,0.246,0.756,1.36,0.057,0.057,0,0.003,0.146,0.102,0.151,0,0.007,0.291
617,0.922,1.583,0.055,0.049,4.925,96.902,137.88,36.332,74.216,232.053,0.52,0.542,0.001,0.049,1.008,0.258,0.354,0.12,0.435,0.936,0.703,1.084,0.421,0.511,1.877,0.016,0.012,0.007,0.019,0.028,0.651,0.422,0.236,0.702,1.277,0.053,0.056,0,0.003,0.134,0.094,0.147,0,0.007,0.269
618,0.931,1.568,0.05,0.045,4.68,94.992,136.147,33.477,68.451,223.311,0.453,0.506,0.001,0.048,0.887,0.265,0.35,0.115,0.426,0.908,0.662,1.062,0.413,0.5,1.78,0.019,0.012,0.007,0.017,0.028,0.665,0.419,0.227,0.662,1.217,0.048,0.054,0,0.002,0.124,0.085,0.142,0,0.006,0.25
619,86.472,29.97,0.045,0.042,4.452,99.03,134.22,30.942,63.38,214.794,0.41,0.476,0,0.043,0.789,0.244,0.339,0.111,0.425,0.891,0.628,1.035,0.406,0.49,1.696,0.062,0.017,0.006,0.016,0.029,0.639,0.409,0.218,0.635,1.172,0.045,0.052,0,0.002,0.115,0.077,0.137,0,0.006,0.234
620,336.568,315.022,0.535,0.039,109.968,125.752,165.993,26.763,58.966,209.738,0.646,0.573,0,0.035,0.724,0.205,0.265,0.102,0.428,0.855,0.647,1.014,0.402,0.481,1.625,0.17,0.047,0.015,0.016,0.049,0.542,0.333,0.198,0.616,1.09,0.049,0.05,0,0.002,0.108,0.078,0.132,0,0.004,0.219
621,597.466,718.063,5.633,2.073,912.75,155.731,210.517,34.171,58.795,258.769,1.139,0.907,0.003,0.025,1.035,0.186,0.215,0.069,0.327,0.633,0.737,1.04,0.413,0.473,1.601,0.227,0.074,0.046,0.04,0.1,0.475,0.265,0.139,0.525,0.838,0.061,0.053,0,0.001,0.103,0.09,0.134,0,0.003,0.208
622,828.984,1119.37,13.135,18.531,2142.304,184.351,257.605,46.608,83.777,344.544,1.674,1.253,0.01,0.025,1.916,0.174,0.186,0.048,0.171,0.378,0.879,1.109,0.447,0.497,1.659,0.225,0.078,0.064,0.108,0.122,0.43,0.224,0.103,0.338,0.567,0.073,0.061,0,0.001,0.109,0.108,0.145,0,0.002,0.211
623,1032.477,1467.43,20.141,46.129,3445.116,210.966,302.116,59.726,125.994,443.372,2.199,1.542,0.015,0.042,2.731,0.169,0.169,0.033,0.108,0.273,1.02,1.201,0.488,0.556,1.773,0.197,0.071,0.063,0.142,0.115,0.394,0.195,0.086,0.247,0.431,0.082,0.069,0.001,0.002,0.126,0.124,0.16,0.001,0.002,0.232
624,1079.917,1810.893,25.53,70.839,4576.986,228.867,344.177,73.668,172.968,538.981,2.433,1.811,0.016,0.056,3.31,0.161,0.163,0.025,0.068,0.231,1.11,1.288,0.521,0.593,1.947,0.163,0.063,0.057,0.127,0.097,0.358,0.174,0.078,0.192,0.356,0.084,0.073,0.001,0.002,0.142,0.134,0.175,0.001,0.003,0.272
625,1182.701,2008.375,31.178,95.49,5460.978,248.402,377.034,87.177,216.286,625.849,2.605,2.051,0.017,0.065,3.652,0.158,0.163,0.023,0.051,0.211,1.148,1.352,0.541,0.611,2.098,0.133,0.058,0.052,0.099,0.081,0.322,0.162,0.073,0.151,0.304,0.079,0.073,0.001,0.003,0.143,0.139,0.185,0.002,0.004,0.309
626,1195.141,2101.035,36.041,118.418,6001.256,260.135,400.198,99.499,252.842,693.608,2.837,2.238,0.018,0.077,3.845,0.162,0.167,0.024,0.05,0.203,1.169,1.395,0.546,0.623,2.204,0.115,0.056,0.05,0.084,0.072,0.295,0.158,0.071,0.131,0.275,0.076,0.072,0.001,0.003,0.137,0.147,0.193,0.002,0.004,0.338
627,1124.486,2049.054,39.71,140.217,6146.527,261.895,407.908,109.42,280.921,732.106,3.068,2.406,0.019,0.09,3.983,0.171,0.176,0.025,0.052,0.203,1.188,1.421,0.541,0.629,2.278,0.108,0.055,0.048,0.077,0.068,0.283,0.161,0.07,0.124,0.262,0.076,0.072,0.001,0.003,0.132,0.159,0.199,0.002,0.005,0.363
628,983.003,1830.216,41.428,160.122,5889.446,254.276,396.1,115.73,297.474,733.559,3.198,2.601,0.021,0.104,4.17,0.18,0.19,0.027,0.056,0.211,1.208,1.439,0.535,0.631,2.339,0.104,0.056,0.047,0.074,0.065,0.282,0.171,0.071,0.123,0.262,0.077,0.074,0.001,0.003,0.129,0.172,0.205,0.002,0.006,0.387
629,750.276,1436.663,39.343,167.537,5215.82,233.811,363.538,116.406,300.657,698.991,3.204,2.759,0.022,0.115,4.427,0.189,0.209,0.03,0.059,0.226,1.227,1.45,0.531,0.631,2.393,0.101,0.056,0.046,0.072,0.064,0.292,0.189,0.073,0.125,0.272,0.078,0.076,0.001,0.003,0.129,0.186,0.211,0.002,0.007,0.411
630,436.331,872.149,33.057,160.098,4053.973,196.29,312.462,108.703,293.027,633.972,3.013,2.781,0.023,0.123,4.691,0.197,0.231,0.033,0.063,0.251,1.237,1.451,0.528,0.628,2.435,0.096,0.053,0.045,0.071,0.062,0.32,0.219,0.078,0.13,0.295,0.079,0.081,0.001,0.003,0.133,0.196,0.215,0.002,0.008,0.432
631,120.459,230.559,20.797,141.844,2330.952,154.267,257.849,91.791,262.033,553.283,2.584,2.505,0.022,0.128,4.973,0.205,0.258,0.036,0.068,0.305,1.229,1.443,0.524,0.622,2.472,0.077,0.043,0.04,0.069,0.058,0.378,0.268,0.087,0.139,0.353,0.081,0.086,0.001,0.003,0.143,0.199,0.214,0.002,0.008,0.449
632,1.325,2.892,6.032,96.129,508.986,134.849,231.591,79.341,204.965,495.781,2.039,1.864,0.018,0.126,5.19,0.231,0.3,0.043,0.071,0.494,1.207,1.42,0.518,0.608,2.549,0.046,0.025,0.031,0.062,0.051,0.52,0.35,0.106,0.151,0.562,0.083,0.087,0.001,0.003,0.173,0.196,0.207,0.002,0.008,0.468
633,1.144,2.63,0.149,39.664,10.995,124.975,214.66,80.759,167.022,411.064,1.671,1.395,0.012,0.111,4.255,0.276,0.352,0.082,0.077,0.866,1.167,1.381,0.517,0.587,2.632,0.022,0.016,0.021,0.049,0.04,0.694,0.432,0.173,0.177,1.079,0.084,0.082,0.001,0.003,0.212,0.189,0.195,0.002,0.008,0.475
634,1.11,2.412,0.123,0.193,8.505,116.764,198.758,71.576,160.753,348.799,1.453,1.123,0.007,0.085,3.31,0.309,0.406,0.149,0.115,1.231,1.13,1.348,0.522,0.563,2.652,0.021,0.016,0.015,0.032,0.032,0.771,0.503,0.277,0.258,1.665,0.085,0.077,0.001,0.003,0.23,0.184,0.184,0.001,0.007,0.458
635,1.089,2.238,0.104,0.112,7.23,110.821,184.84,63.842,140.959,309.108,1.283,0.946,0.005,0.061,2.636,0.33,0.472,0.197,0.168,1.413,1.099,1.325,0.527,0.541,2.584,0.021,0.017,0.015,0.021,0.033,0.783,0.582,0.346,0.358,1.982,0.086,0.073,0.001,0.002,0.224,0.18,0.177,0.001,0.007,0.425
636,1.079,2.1,0.091,0.089,6.435,106.159,172.91,57.482,124.272,282.806,1.138,0.835,0.004,0.056,2.147,0.35,0.547,0.22,0.198,1.473,1.074,1.313,0.526,0.524,2.467,0.019,0.017,0.014,0.019,0.034,0.784,0.658,0.375,0.411,2.066,0.086,0.071,0.001,0.002,0.21,0.176,0.172,0.001,0.007,0.389
637,1.072,1.988,0.08,0.071,5.849,102.963,163.279,52.137,110.543,263.028,1.005,0.759,0.003,0.058,1.78,0.372,0.618,0.222,0.206,1.455,1.051,1.304,0.518,0.508,2.323,0.018,0.017,0.013,0.018,0.034,0.789,0.717,0.373,0.43,1.999,0.086,0.07,0,0.002,0.194,0.171,0.169,0.001,0.007,0.355
638,1.066,1.895,0.071,0.059,5.379,101.157,155.516,47.526,99.248,246.97,0.89,0.704,0.002,0.058,1.494,0.391,0.676,0.213,0.197,1.379,1.021,1.292,0.506,0.485,2.169,0.018,0.017,0.012,0.016,0.031,0.799,0.751,0.355,0.422,1.838,0.084,0.07,0,0.002,0.176,0.164,0.166,0,0.007,0.324
639,1.06,1.828,0.064,0.052,5.007,99.407,149.808,43.461,89.81,233.959,0.795,0.658,0.001,0.054,1.265,0.402,0.716,0.2,0.181,1.266,0.98,1.275,0.492,0.458,2.016,0.018,0.017,0.011,0.014,0.028,0.806,0.765,0.333,0.402,1.637,0.082,0.069,0,0.002,0.158,0.155,0.162,0,0.006,0.294
640,1.057,1.781,0.058,0.046,4.694,98.073,145.49,39.875,81.784,222.717,0.713,0.616,0.001,0.041,1.08,0.401,0.737,0.191,0.165,1.149,0.937,1.253,0.479,0.429,1.874,0.018,0.017,0.01,0.013,0.026,0.81,0.761,0.315,0.38,1.449,0.078,0.068,0,0.002,0.141,0.145,0.158,0,0.004,0.268
641,1.056,1.739,0.052,0.041,4.435,96.867,141.672,36.713,74.917,213.076,0.639,0.577,0.001,0.024,0.934,0.391,0.736,0.185,0.151,1.047,0.895,1.229,0.467,0.401,1.75,0.018,0.016,0.009,0.012,0.024,0.814,0.744,0.3,0.358,1.301,0.074,0.067,0,0.001,0.127,0.136,0.154,0,0.002,0.245
642,1.055,1.704,0.048,0.038,4.22,95.982,138.124,33.903,69.042,205.131,0.57,0.538,0.001,0.01,0.817,0.377,0.712,0.18,0.14,0.961,0.856,1.2,0.455,0.375,1.642,0.021,0.015,0.008,0.011,0.022,0.827,0.717,0.287,0.335,1.185,0.071,0.065,0,0,0.115,0.127,0.149,0,0.001,0.225
643,87.052,36.56,0.044,0.035,3.999,101.396,134.438,31.388,64.055,196.923,0.516,0.501,0.001,0.003,0.718,0.324,0.669,0.174,0.132,0.894,0.825,1.169,0.446,0.353,1.548,0.072,0.022,0.008,0.01,0.022,0.767,0.677,0.274,0.312,1.098,0.067,0.063,0,0,0.105,0.119,0.143,0,0,0.206
644,352.298,355.756,0.484,0.032,88.153,132.862,168.53,27.599,59.808,191.747,0.682,0.584,0.001,0.001,0.64,0.225,0.388,0.158,0.126,0.828,0.865,1.133,0.441,0.333,1.463,0.189,0.057,0.02,0.009,0.041,0.597,0.458,0.244,0.29,1.002,0.07,0.057,0,0,0.095,0.118,0.134,0,0,0.188
645,637.384,816.478,5.865,1.388,811.13,168.833,219.903,35.579,57.96,238.157,1.055,0.922,0.004,0,0.897,0.182,0.241,0.086,0.113,0.574,0.986,1.156,0.451,0.318,1.42,0.24,0.083,0.051,0.019,0.094,0.503,0.328,0.153,0.255,0.742,0.077,0.058,0,0,0.086,0.126,0.133,0,0,0.172
646,894.884,1278.526,14.211,14.225,1979.041,201.308,275.078,49.094,75.969,321.941,1.463,1.241,0.011,0.007,1.711,0.159,0.185,0.054,0.09,0.347,1.116,1.226,0.484,0.325,1.478,0.222,0.084,0.067,0.06,0.122,0.438,0.264,0.108,0.184,0.506,0.08,0.064,0,0,0.093,0.13,0.142,0,0,0.175
647,1097.981,1687.691,21.641,35.908,3216.186,227.336,329.101,62.805,104.562,416.93,1.843,1.473,0.014,0.022,2.547,0.149,0.157,0.032,0.068,0.259,1.201,1.306,0.511,0.363,1.623,0.185,0.075,0.059,0.083,0.116,0.388,0.223,0.085,0.135,0.391,0.085,0.07,0.001,0.001,0.115,0.134,0.153,0.001,0.001,0.204
648,1226.409,2098.396,28.134,57.755,4123.164,246.058,382.854,76.022,133.414,504.248,2.128,1.679,0.014,0.039,3.043,0.145,0.146,0.023,0.051,0.219,1.241,1.369,0.529,0.417,1.798,0.154,0.066,0.051,0.081,0.096,0.352,0.197,0.073,0.111,0.32,0.088,0.072,0.001,0.002,0.13,0.143,0.16,0.001,0.002,0.247
649,1283.862,2343.245,33.929,83.902,4979.917,257.919,424.04,88.179,166.003,589.087,2.352,1.865,0.015,0.05,3.341,0.146,0.145,0.021,0.041,0.199,1.257,1.411,0.538,0.461,1.935,0.128,0.061,0.047,0.072,0.081,0.319,0.183,0.067,0.096,0.271,0.087,0.071,0.001,0.002,0.129,0.154,0.165,0.001,0.003,0.285
